component,evidence_type,evidence,scope,limitation,design_implication
multi-hop context preservation,functional sensitivity,"Interaction-off changes downstream representations, while Stage-I banks remain defined independently of the intervention.","P1 frozen sensitivity","Intervention is not a causal ablation.","Keep and test retained-context use in P1.7."
context-change encoding,empirical evidence,"Mean context-change injection ratio is about 0.1692 Text and 0.1552 Visual; cosine to LayerNorm(S_k) is near zero but nonzero injection is present.","Corrected P1.5a","Directional cosine alone does not establish benefit.","Keep current D/g_delta path."
context-change encoding,mechanism behavior,"D_k=LN(S_k-S_(k-1)) is added to hop tokens through g_delta W_delta with order embeddings.","Frozen V3 code","One layer only; no evidence for deeper interaction.","Keep unchanged."
node-adaptive cross-hop interaction,empirical evidence,"Nodewise entropy is 0.4874/0.5551; node heterogeneity is about 0.4254/0.3605; query diversity is about 0.0680/0.0810; diagonal excess is near zero.","Text/Visual corrected attention","Mean-matrix entropy would overstate nodewise entropy.","Freeze the node-adaptive interaction claim with corrected definitions."
node-adaptive cross-hop interaction,functional sensitivity,"Interaction-off changes fused relative-L2 by about 0.1860, cosine remains about 0.9812, and mean prediction flip rate is about 0.0476.","15 saved heads; frozen intervention","This is sensitivity, not retrained causal necessity.","Keep one layer/one head and use the narrower node-mixture claim."
signed filtering,mechanism behavior,"Eta is signed with negative fraction about 0.321 Text and 0.166 Visual; content and relation branches contribute to eta covariance.","P1.5/P1.5a","Absolute amplitude alone is not branch contribution.","Keep signed utilization but simplify the redundant reference branch."
global/modality order prior,mechanism behavior,"gamma+DeltaGamma supplies the global and modality order baseline in the explicit eta reconstruction.","Frozen V3 code and filter CSV","No isolated global-prior intervention.","Keep."
node content scorer,mechanism behavior,"delta_content is read from S_tilde and has larger eta covariance contribution than the reference branch.","P1.5 filter attribution","Low-rank scorer utility is not isolated by retraining.","Keep current low-rank content scorer; do not add a semantic-query scorer."
Stage-II reference residual,empirical evidence,"Reference residual follows an almost fixed [positive, negative, negative, negative] order pattern; node std is around 1e-4 while its mean dominates its absolute amplitude.","P1.5a hop-wise filter CSV","Small node std and low covariance do not prove harmlessness under a revised model.","Remove from V3.1 rather than merely setting its scale to zero."
Stage-II reference residual,mechanism behavior,"The residual re-injects centered [1,alpha1,...,alphaK] after alpha already formed S_k; P1.5 covariance contribution is near zero and slightly negative.","Frozen formula and branch attribution","The branch could still interact after retraining, requiring a pilot check.","Remove as redundant manual injection."
relation-state conditioning,empirical evidence,"Relation residual abs-mean is only about 0.0039/0.0034, but relation-to-eta covariance contribution is about 0.239/0.318 and residual node std is about 0.00134/0.00130.","Text/Visual P1.5/P1.5a","Small amplitude is not negligible node-variance contribution.","Keep c_i-to-filter conditioning."
late multimodal fusion,mechanism behavior,"Text and Visual streams are tested independent until z_text/z_visual refinement and final concat fusion.","SSI-MAG-V3 tests and frozen code","No cross-modal interaction is intended before fusion.","Keep unchanged."
auxiliary loss,empirical evidence,"P1/P1.5 behavior was obtained without an auxiliary loss; no optimization pathology requiring one was identified.","P1 protocol and analyses","Future training could reveal a distinct pathology.","Remove from V3.1 design; revisit only after explicit evidence."
strong pairwise hop dependency claim,mechanism behavior,"Corrected query diversity is nonzero but smaller than node heterogeneity; attention evidence supports node mixtures, not a strong relational hop claim.","P1.5a corrected attention","Descriptive attention cannot establish reasoning semantics.","Demote wording to Node-Adaptive Cross-Hop Context Interaction."
performance overall,performance evidence,"P1 Full is competitive descriptively but not uniformly superior to verified CoSI-MAG Final/All Plain across all datasets and metrics.","Protocol-matched P1 comparison","Test metrics are never used for selection; no component isolation exists.","Treat performance as a guardrail for P1.7, not proof of every mechanism."
